#separator:tab
#html:false
der Pole	поляк
der Inlineskater	катальщик на роликах
kostenfrei	бесплатно
auftreten	выступать
der Soul	соул
der Jazz	джаз
der Pop	поп
die Volkshochschule	народный университет
die Politik	политика
die Fotografie	фотография
die Literatur	литература
erforderlich	обязательный
einschreiben	регистрироваться
das Semester	семестр
Kräuter	травы
das Programm	программа
halb-	половина
der Fan	фанат
der Künstler	художник
die Künstlerin	художница
Europa	Европа
das Spielzeug	игрушка
die CD	CD
die Renovierung	ремонт
die Wiedereröffnung	повторное открытие
die Luft- und Raumfahrt	воздушно-космическая отрасль
wochentags	по будням
die Eintrittskarte	входной билет
der Sender	передатчик
annehmen	принимать
ablehnen	отклонять
das Bedauern	сожаление
der Gegensatz	противоположность
der Killer	убийца
die Wirklichkeit	реальность
der Biergarten	пивной сад
der Keller	подвал
der Lauf	бег
das Turnier	турнир
erraten	угадывать
die Show	шоу
berühmt	знаменитый
das Feuer	огонь
der Gott	бог
der Ruhetag	день отдыха
zusammengesetzt	составной
Medien	СМИ
der Kirchgang	посещение церкви
die Mediathek	медиатека
der Ärger	раздражение
die Region	регион
die Polizei	полиция
der Kanal	канал
die Werbung	реклама
die Presse	пресса
die Quizshow	викторина
herrlich	великолепно
der Forums-Beitrag	сообщение на форуме
die Bestellung	заказ
beantworten	отвечать
recherchieren	исследовать
Alpen	Альпы
der Mini-Kurs	мини-курс
der Anhang	вложение
die Quelle	источник
das Schnupper-Schwimmen	пробное плавание
herunterladen	скачивать
das Passwort	пароль
der Virus	вирус
die Kombination	комбинация
ändern	изменять
der Kriminelle	преступник
die Bankverbindung	банковские реквизиты
der Newsletter	информационный бюллетень
die PIN	ПИН-код
das Girokonto	расчетный счет
geheim	секретный
das Poster	постер
der Kerzenständer	подсвечник
die Kerze	свеча
die Plastiktischdecke	пластиковая скатерть
der Wandteppich	настенный ковер
scheußlich	отвратительный
gucken	смотреть
der Bikini	бикини
die Kamera	камера
die Brieftasche	кошелек
das Feuerzeug	зажигалка
hübsch	красивый
die Endung	окончание
die Auktion	аукцион
dick	толстый
die Platte	плита
das Set	набор
die Müslischale	миска для мюсли
die Höhe	высота
der Zustand	состояние
versteigern	продавать на аукционе
Top-	топ
die Qualität	качество
einwandfrei	безупречный
der Kratzer	царапина
die Rückseite	обратная сторона
passend	подходящий
das Metall	металл
der Stoff	ткань
weiterschreiben	продолжать писать
der Rucksack	рюкзак
der Hut	шляпа
die Liebe	любовь
der Roman	роман
spannend	увлекательно
als	как
das Stadion	стадион
der Hip-Hop	хип-хоп
der Pudding	пудинг
der Superlativ	превосходная степень
die Statistik	статистика
das Ergebnis	результат
das Nahrungsmittel	пищевой продукт
die Konsumausgabe	потребительские расходы
der Tabak	табак
alkoholisch	алкогольный
das Gas	газ
der Kredit	кредит
aufnehmen	принимать
sparen	экономить
die Einleitung	введение
die Überschrift	заголовок
tauschen	менять
korrigieren	исправлять
das Porzellan	фарфор
manch-	некоторые
die Erinnerung	воспоминание
das Kunstwerk	произведение искусства
der Gedanke	мысль
wertvoll	ценный
der Harlekin	арлекин
damals	тогда
der Drache	дракон
reinstecken	вставлять
drin	внутри
die Adjektivdeklination	склонение прилагательных
der Vergleichspartikel	частица сравнения
die Wortbildung	образование слов
der Schlaf	сон
skeptisch	скептически
das Konsumverhalten	потребительское поведение
gebraucht	б/у
wegwerfen	выбрасывать
bequem	удобный, удобно
handeln	действовать
meist	чаще всего
entstehen	возникать
solch-	такой
der Floh	блоха
mitkaufen	покупать вместе
völlig	совершенно
herumliegen	валяться
das Projekt	проект
die Hälfte	половина
der Käufer	покупатель
die Käuferin	покупательница
die Asche	пепел
das Moos	мох
der Kies	гравий
die Kohle	уголь
die Maus	мышь
die Knete	пластилин
kriegen	получать
die Südsee	Южное море
schick	модный
der Schotter	щебень
die Nähmaschine	швейная машина
schlicht	простой
der Selbstabholer	самовывоз
vorbeischauen	заглядывать
der Lampenschirm	абажур
die Stehlampe	торшер
der Schal	шарф
elegant	элегантный
die Rose	роза
das Preisschild	ценник
der Beschwerdebrief	жалоба
zurückschicken	возвращать
die Elektronik	электроника
das Musikinstrument	музыкальный инструмент
weiter-	дальше
die Rückgabe	возврат
der Gebrauchsgegenstand	предмет повседневного пользования
der Alltagsgegenstand	предмет быта
der Kopfhörer	наушники
die Situation	ситуация
verbinden	соединять
aufschreiben	записывать
das Rücksendeformular	форма возврата
die Gemeinschaftspraxis	совместная практика
umtauschen	обменивать
die Rücksendung	возврат
die Artikelbezeichnung	наименование товара
der Warenwert	стоимость товара
der Rücksendegrund	причина возврата
der Artikel	артикул
beschädigen	повреждать
zerbrechen	ломать
die Katalogabbildung	иллюстрация в каталоге
abbilden	изображать
die Lieferung	доставка
das Abo	абонемент
die Fachzeitschrift	специальный журнал
das Abonnement	абонемент
nächstmöglich	в ближайшее время
der Wäschetrockner	сушилка для белья
die Lieferadresse	адрес доставки
tagsüber	днём
das Mobiltelefon	мобильный телефон
der Kaufgegenstand	товар
die Anzahlung	предоплата
die Zahlungsmodalität	условия оплаты
vereinbaren	согласовывать
die Selbstmontage	самостоятельная сборка
die Abholung	самовывоз
das Altgerät	старое устройство
die Restzahlung	остаток платежа
die Anlieferung	доставка
die Überweisung	перевод
die EC-Karte	дебетовая карта
der Rest	остаток
der Briefumschlag	конверт
der Bierdeckel	подставка под пиво
der Karton	картон
versenden	отправлять
ordentlich	аккуратно
die Sendung	отправление
reinschreiben	вписывать
das Sortierzentrum	сортировочный центр
transportieren	транспортировать
Ecuador	Эквадор
Costa Rica	Коста-Рика
Kolumbien	Колумбия
ernten	собирать урожай
hart	жесткий
anschließend	в последствии
wiegen	весить
verpacken	упаковывать
das Schiff	корабль
laden	грузить
die Ernte	урожай
die Bananenreiferei	плодосозревание бананов
lagern	хранить
reif	спелый
weich	мягкий
die Fantasie	фантазия
was für ein-	какой-то
die Verpackung	упаковка
der Aufkleber	наклейка
die Möglichkeit	возможность
das Einschreiben	рекомендованное письмо
senden	отправлять
das Päckchen	пакетик
die Benachrichtigungskarte	уведомительная карточка
Südafrika	Южноафриканская Республика
her	сюда
die Sondermarke	специальная марка
Ägypten	Египет
der Zoll	таможня
die Zollinhaltserklärung	декларация о содержимом
wert	ценный
die Sorge	забота
frieren	замерзать
kaputtgehen	ломаться
die Eisenbahn	железная дорога
der Bär	медведь
die Münze	монета
die Ente	утка
das Souvenir	сувенир
die Muschel	ракушка
das Tier	животное
exotisch	экзотический
der Vogel	птица
das Wettspiel	соревнование
der Streifen	полоса
der Punkt	точка
der Elefant	слон
der Stern	звезда
der Himmel	небо
orange	оранжевый
in Kontakt bleiben	оставаться на связи
heutzutage	в настоящее время
zuvor	ранее
Kontakt halten	поддерживать контакт
das Netzwerk	сеть
das Wissen	знание
das Quiz	викторина
die Mail	почта
weltweit	по всему миру
jährlich	ежегодно
die Milliarde	миллиард
der Nutzer	пользователь
die Auflösung	разрешение
erstaunlich	удивительно
die Sprachnachricht	голосовое сообщение
die Mailbox	почтовый ящик
verschieben	перемещать
die Kneipe	пивная
melden	сообщать
das Treffen	встреча
der Gasthof	гостиница
das Konsulat	консульство
allgemein	в общем
die Grippe	грипп
die Impfung	вакцинация
das Passiv	пассив
das Präsens	настоящее время
das Erstaunen	удивление
das Kommunikationsverhalten	коммуникационное поведение
unverstanden	непонятый
unentschieden	вничью
unappetitlich	неаппетитный
unvorsichtig	неосторожный
unerzogen	невоспитанный
unnötig	необязательный
die Lüge	ложь
die Notlüge	небольшая ложь
lügen	лгать
die Reaktion	реакция
die Wahrheit	правда
beschäftigen	занимать
einpacken	упаковывать
die Entscheidung	решение
der Paketschein	наклейка на посылку
falls	в случае
zustellbar	доставляемый
der Druckbuchstabe	печатаемая буква
sonstig	иной
die Inhaltsbeschreibung	описание содержания
der Sammler	коллекционер
die Sammlerin	коллекционерша
das Stofftier	мягкая игрушка
das Symbol	символ
die Kraft	сила
die Figur	фигура
das Plüschtier	плюшевая игрушка
das Open-Air-Festival	открытый фестиваль
einzeln	по отдельности
der Pyjama	пижама
inzwischen	тем временем
einfarbig	однотонный
riesig	огромный
die Parkmöglichkeit	возможность парковки
die Geldstrafe	штраф
das Ordnungsamt	управление по вопросам порядка
der Bußgeldbescheid	уведомление о штрафе
das Aktenzeichen	номер дела
der PKW	легковой автомобиль
amtlich	официальный
das Kennzeichen	номерной знак
die Verkehrsordnungswidrigkeit	нарушение правил дорожного движения
begehen	совершать
das Halteverbot	запрет остановки
der Zeuge	свидетель
die Zeugin	свидетельница
wegen	из-за
die Ordnungswidrigkeit	административное правонарушение
das Bußgeld	штраф
erheben	взимать
innerhalb	в течение
die Strafe	наказание
hiermit	настоящим
schulisch	школьный
dual	дуальный
das Modehaus	магазин модной одежды
der Baumarkt	магазин строительных материалов
die Maschinenbautechnik	техническое обслуживание машин
der Restaurantfachmann	специалист по ресторанному делу
die Restaurantfachfrau	специалистка по ресторанному делу
der Zoo	зоопарк
der Tiger	тигр
das Zebra	зебра
anschauen	смотреть
wegfahren	уезжать
springen	прыгать
tanken	заправлять
an vorbei	мимо
um herum	вокруг
entlang	вдоль
verfahren	действовать
der Fluss	река
die Kreuzung	перекресток
abbiegen	поворачивать
der Kreisverkehr	круговое движение
die Ausfahrt	выезд
der Kopierer	копировальный аппарат
die Cafeteria	кафетерий
der Stau	пробка
der Bürgersteig	тротуар
stürzen	падать
der Radfahrer	велосипедист
arm	бедный
kleben	клеить
das Pflaster	пластырь
der Liebling	любимчик
stehen bleiben	остановиться
das Benzin	бензин
der Pannendienst	служба помощи на дороге
die Batterie	батарея
leer	пустой
rechtzeitig	своевременно
der Verkehr	движение
die Baustelle	стройка
die Spur	полоса
überholen	обгонять
die Fahrbahn	проезжая часть
der Falschfahrer	водитель, нарушающий правила
vorsichtig	осторожно
Bauarbeiten	строительные работы
das Eis	лед
der Nebel	туман
der Sonnenschein	солнечный свет
der Sturm	шторм
gewittrig	гроза
stürmisch	штормовой
regnerisch	дождливый
eisig	ледяной
wolkig	облачный
neblig	туманный
sorgen	заботиться
komplett	полный
sperren	закрывать
stundenlang	часами
der Wagen	машина
die Hitze	жара
kräftig	сильный
der Starkregen	сильный дождь
vermeiden	избегать
die Gefahr	опасность
umstürzen	опрокидывать
der Bürger	гражданин
die Bürgerin	гражданка
die Aussicht	вид
das Event	мероприятие
der Meteorologe	метеоролог
die Meteorologin	метеоролог (жен.)
versprechen	обещать
sommerlich	летний
dicht	плотный
verhindern	предотвращать
der Start	старт
die Landung	посадка
starten	начинать
landen	приземляться
voraussichtlich	предположительно
der Abflug	вылет
gefährlich	опасный
das Moped	мопед
hupen	гудеть
bremsen	тормозить
der Fußgänger	пешеход
die Fußgängerin	пешеходка
Vietnam	Вьетнам
auffallen	бросаться в глаза
der Strafzettel	штраф
riskieren	рисковать
furchtbar	ужасный
öffentlich	общественный
der Linksverkehr	левостороннее движение
die Verkehrsregel	правило дорожного движения
das Tempo	темп
das Tempolimit	ограничение скорости
Tansania	Танзания
die Konsequenz	последствие
der Straßenverkehr	уличное движение
der Verkehrsteilnehmer	участник дорожного движения
die Verkehrsteilnehmerin	участница дорожного движения
nerven	раздражать
die Einbahnstraße	односторонняя улица
wütend	сердитый
dauernd	постоянно
supergefährlich	суперопасный
rücksichtslos	безрассудный
der Metzger	мясник
die Metzgerin	мясница
die Altstadt	старый город
das Mountainbike	горный велосипед
die Verkehrsmeldung	сообщение о дорожной ситуации
der Verkehrsservice	служба дорожной информации
mitten	посреди
Mali	Мали
Bolivien	Боливия
Pakistan	Пакистан
Sachsen	Саксония
die Benutzung	использование
die App	приложение
der Gebrauchtwagen	подержанный автомобиль
die Zulassungsstelle	орган регистрации транспортных средств
notwendig	необходимый
die eVB-Nummer	номер eVB
die Zulassungsbescheinigung	свидетельство о регистрации
der HU-Bericht	отчет HU
der Autohändler	дилер автомобилей
der Fahrzeugschein	свидетельство о регистрации транспортного средства
der Fahrzeugbrief	технический паспорт автомобиля
die Probefahrt	тест-драйв
die Berufsgenossenschaft	профессиональный союз
der Durchgangsarzt	врач общей практики
die Unfallmeldung	сообщение о несчастном случае
die Schilderung	описание
der Unfallhergang	ход происшествия
anhalten	останавливать
ausweichen	уворачиваться
rutschen	скользить
das Vorderrad	переднее колесо
streifen	царапать
die Qual	страдание
dagegen	против
begeistert	восторженный
die Unterkunft	жилье
die Besichtigung	осмотр
bergsteigen	восходить
der Traum	мечта
der Atlantik	Атлантический океан
die Küste	берег
die Insel	остров
der Schwarzwald	Черный лес
die Wüste	пустыня
das Gebirge	горная местность
der Dschungel	джунгли
der Bodensee	Боденское озеро
Luxemburg	Люксембург
das Schwarze Meer	Черное море
baden	купаться
der Sand	песок
weiter	дальше
kühl	прохладный
die Ferienwohnung	квартира для отдыха
die Kuh	корова
das Pferd	лошадь
das Schaf	овца
das Strandbad	пляжный комплекс
das Boot	лодка
das Festival	фестиваль
die Sehenswürdigkeit	достопримечательность
vor allem	прежде всего
echt	настоящий
trocken	сухой
die Pension	пансион
der Blick	взгляд
die Lage	расположение
das Einzelzimmer	одноместный номер
das Doppelzimmer	двухместный номер
die Halbpension	полупансион
das Camping	кемпинг
der Campingplatz	кемпинг
das Tal	долина
die Wiese	луг
das Salzkammergut	Сальцкаммергут
Schleswig-Holstein	Шлезвиг-Гольштейн
romantisch	романтичный
die Berghütte	горная хижина
der Fahrradverleih	прокат велосипедов
zentral	центральный
historisch	исторический
zahlreich	многочисленный
die Übernachtung	ночевка
der Dom	собор
die Jugendherberge	молодежная гостиница
die Städtereise	городской тур
buchen	бронировать
der Aufenthalt	пребывание
von an	с
das Reisebüro	туристическое агентство
der Spezialist	специалист
ausgebucht	бронирование завершено
die Verbindung	связь
Kanu fahren	кататься на каноэ
surfen	серфить
die Führung	экскурсия
die Ausstellung	выставка
bekannt	известный
nirgends	нигде
der Wochenendausflug	поездка на выходные
die Lüneburger Heide	Люнебургская пустошь
dagegen sein	быть против
dafür sein	быть за
faulenzen	лениться
das Denkmal	памятник
die Befreiungshalle	зал освобождения
der Donaudurchbruch	пролив Дуная
Bayern	Бавария
doppelt	вдвое
der Sinn	смысл
erstens	во-первых
zweitens	во-вторых
fließen	течь
Holland	Нидерланды
die Slowakei	Словакия
Serbien	Сербия
irgendwann	когда-нибудь
die Hafenstadt	портовый город
das Rote Meer	Красное море
das Urlaubsziel	туристический объект
der Startpunkt	начальная точка
die Loreley	Лорелей
staunen	удивляться
die Ameise	муравей
die Chaussee	шоссе
verzichten	отказываться
weise	мудро
das Kaffeehaus	кофейня
die Sachertorte	торт Захер
der Weinberg	виноградник
hungrig	голодный
der Tierpark	зоопарк
das Antragsformular	форма заявления
das Schülerticket	ученический билет
der Bestellschein	бланк заказа
die Zeitkarte	временной билет
die Monatskarte	месячный билет
die Ausbildungsstelle	место обучения
die Fahrtstrecke	маршрут
die Umsteigehaltestelle	остановка пересадки
die Geltungsdauer	срок действия
der Einzelkauf	разовая покупка
die Zahlungsweise	способ оплаты
die Abbuchung	автоматическое списание
der Bankeinzug	банковский перевод
der Stempel	печать
der Auftraggeber	заказчик
die Fortbildung	повышение квалификации
die Konferenz	конференция
der Konferenzraum	конференц-зал
die Buchungsbestätigung	подтверждение бронирования
das Tagungshotel	гостиница для конференций
die Anreise	прибытие
die Zusatzleistung	дополнительная услуга
die Kontonummer	номер счета
der Kontoauszug	выписка по счету
abbuchen	списывать
die Buchung	бронирование
der Vorgang	процесс
der Betrag	сумма
die Aktie	акция
die Telefongesellschaft	телефонная компания
besorgen	доставлять
der Bankschalter	банковский прилавок
abheben	снимать
der Geldautomat	банкомат
ob	ли
der Personalausweis	удостоверение личности
die Rate	платеж
das Bargeld	наличные
Zinsen	проценты
die Summe	сумма
auf einmal	разом
sondern	а
der Geldschein	банкнота
akzeptieren	принимать
das Taschengeld	карманные деньги
erledigen	выполнять
das Bankgeschäft	банковская операция
auswendig	наизусть
die Inspektion	инспекция
der Autobesitzer	владелец автомобиля
kontrollieren	контролировать
die Kontrolle	контроль
erkennen	узнавать
der Hersteller	производитель
das Öl	масло
die Bremse	тормоз
überprüfen	проверять
die Dienstleistung	услуга
renovieren	ремонтировать
Haare schneiden	стричь волосы
auskennen	разбираться
einzahlen	вносить деньги
das Gehalt	зарплата
der Dispo	овердрафт
die Meldebestätigung	подтверждение регистрации
der Gehaltsnachweis	справка о зарплате
das Online-Banking	интернет-банкинг
die Broschüre	брошюра
die Geheimzahl	секретный номер
die Barauszahlung	наличный расчет
tippen	набирать
die Spende	пожертвование
der Überfall	нападение
das Menü	меню
der Passant	прохожий
der Räuber	разбойник
der Ober	официант
spenden	жертвовать
die Kinderhilfe	помощь детям
das Kleingeld	мелочь
böse	злой
die Laune	настроение
spekulieren	спекулировать
die Erhöhung	повышение
ungewöhnlich	необычный
indirekt	косвенный
das Fragepronomen	вопросительное местоимение
sichern	обеспечивать
die Unkenntnis	незнание
äußern	выражать
warnen	предупреждать
der Ratgeber	советчик
die Stirn	лоб
der Sportler	спортсмен
die Sportlerin	спортсменка
der Politiker	политик
die Politikerin	политик (жен.)
tot	мертвый
gestorben	умереть
krachen lassen	греметь
der Champagner	шампанское
abspülen	ополаскивать
vorsingen	петь на прослушивании
föhnen	сушить феном
pflegen	ухаживать
Karten legen	гадать на картах
der Roboter	робот
der Selbstständige	самозанятый
die Selbstständige	самозанятая
der Ruhestand	пенсия
tätig sein	быть активным
die Branche	отрасль
getrennt lebend	живущий отдельно
abbezahlen	погашать
untersuchen	исследовать
reinigen	чистить
kompetent	компетентный
die Tauschbörse	биржа обмена
der Wollpullover	шершавая кофта
die Elektrik	электрика
der Kfz-Mechaniker	автомеханик
die Kfz-Mechanikerin	автомеханик (жен.)
die Elektro- und Wasserinstallation	электро- и водоснабжение
der Elektriker	электрик
die Elektrikerin	электрик (жен.)
der Knopf	пуговица
annähen	пришивать
der Rundum-Service	"услуга ""всё включено"""
nachlesen	перепроверять
die Heizkostenabrechnung	счет за отопление
angeben	указать
der Verwendungszweck	назначение
das Ausführungsdatum	дата выполнения
die Kfz-Versicherung	автострахование
die Haftpflichtversicherung	страхование гражданской ответственности
der Versicherungsschein	страховой полис
die Kilometerstandsmeldung	сообщение о показаниях одометра
der Kilometerstand	показание одометра
die Schadenmeldung	сообщение о повреждении
die Originalrechnung	оригинал счета
die Berufsunfähigkeitsversicherung	страхование на случай потери трудоспособности
der Antragsteller	заявитель
der Staat	государство
die Chance	шанс
der Industriemechaniker	инженер-механик
die Industriemechanikerin	инженер-механик (жен.)
der Versicherungsschutz	страховая защита
das Lebensjahr	год жизни
der Versicherer	страховщик
die Bedingung	условие
die Umfrage	опрос
zurückgehen	возвращаться
kaum	едва
sterben	умереть
die Kindheit	детство
nebenan	по соседству
dieselbe	та же
verlieben	влюбляться
der Quatsch	ерунда
die Lehre	учение
hierbleiben	остаться здесь
zufällig	случайно
das Lokal	местный
seitdem	с тех пор
das Gegenteil	противоположность
egal	всё равно
der Streit	ссора
die Aufgabenverteilung	распределение задач
die Erziehung	воспитание
die Freizeitgestaltung	организация досуга
der Ratschlag	совет
der Esel	осел
der Engel	ангел
die Prinzessin	принцесса
der Kosename	ласкательное имя
liebevoll	нежный
eher	скорее
einfallslos	без идей
das Kosewort	ласкательное слово
die Tierwelt	мир животных
das Häschen	кролик
populär	популярный
der Raucher	курильщик
die Raucherin	курильщица
der Begriff	понятие
das Märchen	сказка
die Befragung	опрос
dankbar	благодарный
empfinden	чувствовать
respektlos	неуважительный
befragen	опрашивать
danken	благодарить
der Einfall	идея
das Karussell	карусель
ernst	серьезно
der Abschnitt	раздел
die Schauspielschule	школа актерского мастерства
der Krieg	война
im Krieg fallen	погибнуть на войне
das Finanzamt	налоговая инспекция
dreifach	в три раза
die Depression	депрессия
stillstehen	стоять на месте
die Krise	кризис
die Aufgabe	задача
wachsen	расти
genießen	наслаждаться
wahr werden	сбываться
die Goldene Hochzeit	золотая свадьба
das Sprachniveau	языковой уровень
deutschsprachig	немецкоязычный
die Zeile	строка
vortragen	декламировать
der Popsong	поп-песня
der Rap	рэп
das Kinderlied	детская песенка
der Tierpfleger	смотритель за животными
die Tierpflegerin	смотрительница за животными
wiedersehen	увидеться снова
die Trennung	разделение
erziehen	воспитывать
das Beratungsgespräch	консультация
die Jobvermittlung	трудоустройство
der Maler	маляр
die Malerin	маляр (жен.)
der Lackierer	лакокрасочник
die Lackiererin	лакокрасочник (жен.)
das Profil	профиль
der Schulabgänger	выпускник школы
die Schulabgängerin	выпускница школы
teamfähig	способный работать в команде
motiviert	мотивированный
locker	непринужденный
das Arbeitsklima	рабочий климат
die Bewerbungsunterlagen	документы для подачи заявления
der Fachverkäufer	специалист по продажам
die Fachverkäuferin	специалистка по продажам
die Konditorei	кондитерская
die Filiale	филиал
die Innenstadt	центр города
die Voraussetzung	предпосылка
die Servicekraft	обслуживающий персонал
der Fertigteig	готовое тесто
die Aufforderung	призыв
die Landeshauptstadt	столица земли
die Schulanmeldung	регистрация в школе
die Anschrift	адрес
die Geburtsurkunde	свидетельство о рождении
gesundheitlich	оздоровительный
die Schuleingangsuntersuchung	медицинский осмотр при поступлении в школу
die Schulpflicht	обязанность посещать школу
schulpflichtig	обязательный для посещения школы
